codigo;descripcion;tipo;unidad;familia;fecha_costo
IN-ADHESIVOS;ADHESIVOS;ins;u;ADHESIVOS;15-sep-2026
MP-AMORELA;AMORELA;mp;u;AMORELA;15-sep-2026
MP-AMOROSALIVIA;AMOROSA LIVIANA;mp;u;AMOROSA LIVIANA;15-sep-2026
MP-AMOROSAPESAD;AMOROSA PESADA;mp;u;AMOROSA PESADA;15-sep-2026
IN-APLIQUES;APLIQUES;ins;u;APLIQUES;15-sep-2026
MP-ARBOLEDA;ARBOLEDA;mp;u;ARBOLEDA;15-sep-2026
IN-BANDERA;BANDERA;ins;u;BANDERA;15-sep-2026
IN-BOTONES;BOTONES;ins;u;BOTONES;15-sep-2026
IN-BROCHE;BROCHE;ins;u;BROCHE;15-sep-2026
IN-CARTONERIA;CARTONERIA;ins;u;CARTONERIA;15-sep-2026
IN-CIERREMETALI;CIERRE METALICO;ins;u;CIERRE METALICO;15-sep-2026
IN-CIERRENIQUEL;CIERRE NIQUELADO;ins;u;CIERRE NIQUELADO;15-sep-2026
IN-CIERRENYLON;CIERRE NYLON;ins;u;CIERRE NYLON;15-sep-2026
IN-CINTATWILL;CINTA TWILL;ins;u;CINTA TWILL;15-sep-2026
IN-CORDONPLANO;CORDON PLANO;ins;u;CORDON PLANO;15-sep-2026
IN-CORDONPUNTAM;CORDON PUNTA METALICO;ins;u;CORDON PUNTA METALICO;15-sep-2026
IN-CORDONREDOND;CORDON REDONDO;ins;u;CORDON REDONDO;15-sep-2026
MP-CUELLOSFANTA;CUELLOS FANTASIA;mp;u;CUELLOS FANTASIA;15-sep-2026
MP-CUELLOSTEJID;CUELLOS TEJIDOS;mp;u;CUELLOS TEJIDOS;15-sep-2026
MP-CUELLOSTEJID2;CUELLOS TEJIDOS COMBINADOS;mp;u;CUELLOS TEJIDOS COMBINADOS;15-sep-2026
IN-ELASTICO;ELASTICO;ins;u;ELASTICO;15-sep-2026
IN-ETIQUETATRAN;ETIQUETA TRANSFER;ins;u;ETIQUETA TRANSFER;15-sep-2026
IN-ETIQUETAS;ETIQUETAS;ins;u;ETIQUETAS;15-sep-2026
MP-FAJASTEJIDOS;FAJAS TEJIDOS;mp;u;FAJAS TEJIDOS;15-sep-2026
MP-FAJASTEJIDOS2;FAJAS TEJIDOS COMBINADO;mp;u;FAJAS TEJIDOS COMBINADO;15-sep-2026
MP-FLEECEPERCHA;FLEECE PERCHADO;mp;u;FLEECE PERCHADO;15-sep-2026
MP-FLEECEPERCHA2;FLEECE PERCHADO ARCOIRIS;mp;u;FLEECE PERCHADO ARCOIRIS;15-sep-2026
MP-FRENCHTERRY;FRENCH TERRY;mp;u;FRENCH TERRY;15-sep-2026
MP-GALLETA;GALLETA;mp;u;GALLETA;15-sep-2026
IN-HILOPARABORD;HILO PARA BORDAR;ins;u;HILO PARA BORDAR;15-sep-2026
IN-HILOPARACOSE;HILO PARA COSER;ins;u;HILO PARA COSER;15-sep-2026
IN-HILOSJEANS;HILOS JEANS;ins;u;HILOS JEANS;15-sep-2026
MP-JERSEY241;JERSEY 24/1;mp;u;JERSEY 24/1;15-sep-2026
MP-JERSEYALGODO;JERSEY ALGODON MEDIANO;mp;u;JERSEY ALGODON MEDIANO;15-sep-2026
MP-JERSEYALGODO2;JERSEY ALGODON PESADO;mp;u;JERSEY ALGODON PESADO;15-sep-2026
MP-JERSEYESPECI;JERSEY ESPECIAL;mp;u;JERSEY ESPECIAL;15-sep-2026
MP-JERSEYLICRAI;JERSEY LICRA IMPACTO;mp;u;JERSEY LICRA IMPACTO;15-sep-2026
MP-JERSEYLISTAD;JERSEY LISTADO;mp;u;JERSEY LISTADO;15-sep-2026
MP-JERSEYLYCRA;JERSEY LYCRA;mp;u;JERSEY LYCRA;15-sep-2026
MP-JERSEYLINETE;JERSEYLINE TEJIDO;mp;u;JERSEYLINE TEJIDO;15-sep-2026
MP-LICRALATINA;LICRA LATINA;mp;u;LICRA LATINA;15-sep-2026
MP-LYCRA;LYCRA;mp;u;LYCRA;15-sep-2026
IN-MATERIALESDE;MATERIALES DE BORDADO;ins;u;MATERIALES DE BORDADO;15-sep-2026
MP-MICROFIBRACO;MICROFIBRA COMPACTADA;mp;u;MICROFIBRA COMPACTADA;15-sep-2026
IN-OJALILLO;OJALILLO;ins;u;OJALILLO;15-sep-2026
MP-OXFORD;OXFORD;mp;u;OXFORD;15-sep-2026
MP-PIQUE;PIQUE;mp;u;PIQUE;15-sep-2026
